reference,n. 参考; 索引; 参照 vt. 给...加上参考资料 vt. 引用 vi. 引用 [计] 引用
optimizers,(optimizer 的复数) [计] 优化程序 [化] 最优控制; 最优控制器
style,n. 风格; 时尚; 文体; 风度; 字体; 类型 vt. 称呼; (根据新款式)设计; 使合潮流 n. 风格; 样式 [计] 风格; 样式
matthew,n. 马太; 马太福音
sarah,n. 萨拉(<<圣经>>故事人物)
sheng,n. 笙（中国的一种民族乐器）
union,n. 联盟; 联合; 结合; 工会 [化] 联合; 联管节; 活接头
zhuang,n. 壮族；壮语
densely,adv. 浓密地; 浓厚地
detect,vt. 发现; 察觉; 探测 [法] 发现; 查明; 探测
expansion,n. 扩充; 开展; 膨胀 [计] 扩展
dense,a. 密集的; 浓厚的
microsoft,n. (美国)微软公司 [电] 微软公司
common,a. 通常的; 共同的; 通俗的; 公共的 [计] 公用块
european,n. 欧洲人 a. 欧洲的; 欧洲人的
instance,n. 建议; 情况; 例子; 场合 vt. 引以为例; 举例说明
regularize,vt. 使有规则; 使有秩序; 调整
developer,n. 开发者 [计] 显影器
search,n. 搜寻; 查究 v. 搜寻; 搜查; 探求; 调查; 搜索 [计] 搜索; 路径检索程序
unified,a. 统一的；一致标准的
rethink,v. 再想; 重想
inception,n. 起初; 获得学位
fully,adv. 十分地; 完全地; 充分地
trainable,a. 可训练的; 可教育的
mixup,n. 混合；混合物
beyond,prep. 超过; 在那一边; 迟于 adv. 在远处 n. 更远处
selection,n. 选择; 选文; 精选品 [医] 选择; 淘汰
distance,n. 距离; 远方; 遥远 [计] 位距
intelligence,n. 智力; 情报; 信息 [医] 智力
benchmark,[计] 基准程序; 基准
setup,n. 装备; 组织; 计划; 机构; 调整; 设置 [计] 设置
variance,n. 不一致; 变化; 变异; 分歧; 不和 [化] 方差; 变种
check,n. 检查; 支票; 阻止物; 寄物牌; 象棋中将军 vt. 检查; 阻止; 核对; 寄存; 托运 vi. 逐项相符; 开支票 [计] 复选
convenient,a. 方便的; 合宜的 [法] 适当的; 合理而可行的; 方便的
competitor,n. 竞争者 [经] 竞争者; 竞争对手
explore,v. 探险; 探测; 探究
additionally,adv. 另外; 此外
optimize,vt. 使完美; 使完善; 充分利用; 乐观地对待; 优化 vi. 持乐观态度 [计] 优化
